"STAROSTNE SKUPINE";"IZOBRAZBA MATERE";"LETO";"VRSTNI RED ROJSTVA";Živorojeni
"Pod 20 let";"Visokošolska 1. stopnje ipd.";"2016";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 1. stopnje ipd.";"2016";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 1. stopnje ipd.";"2016";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 1. stopnje ipd.";"2017";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 1. stopnje ipd.";"2017";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 1. stopnje ipd.";"2017";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 1. stopnje ipd.";"2018";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 1. stopnje ipd.";"2018";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 1. stopnje ipd.";"2018";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2010";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2010";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2010";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2011";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2011";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2011";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2012";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2012";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2012";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2013";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2013";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2013";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2014";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2014";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2014";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2015";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2015";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2015";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2016";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2016";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2016";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2017";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2017";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2017";"Tretje rojstvo ali veè";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2018";"Prvo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2018";"Drugo rojstvo";0
"Pod 20 let";"Visokošolska 2. stopnje ipd.";"2018";"Tretje rojstvo ali veè";0
